"","state","SHA_miles","state_controlled_lane_miles","SHA_ratio","capital_disbursement","maintenance_disbursement","admin_disbursement","total_disbursement","rural_interstate_above_170","rural_interstate_total","rural_OPA_above_220","rural_OPA_total","urban_interstate_above_170","urban_interstate_total","urban_OPA_above_220","urban_OPA_total","total_fatalities","rural_I_OFE_OPA_fatalities","urban_I_OFE_OPA_fatalities","total_VMT","rural_VMT","urban_VMT","total_bridges","total_poor_bridges","state_tot_congestion_hours","state_tot_commuters","state_avg_congestion_hours","capital_disbursement_per_lm","maintenance_disbursement_per_lm","admin_disbursement_per_lm","total_disbursement_per_lm","rural_interstate_poor_percent","urban_interstate_poor_percent","rural_OPA_poor_percent","urban_OPA_poor_percent","poor_bridges_percent","total_fatalities_per_100m_VMT","rural_fatalities_per_100m_VMT","urban_fatalities_per_100m_VMT","overall_score","capital_disbursement_per_lm_rank","maintenance_disbursement_per_lm_rank","admin_disbursement_per_lm_rank","total_disbursement_per_lm_rank","rural_interstate_poor_percent_rank","urban_interstate_poor_percent_rank","rural_OPA_poor_percent_rank","urban_OPA_poor_percent_rank","poor_bridges_percent_rank","total_fatalities_per_100m_VMT_rank","rural_fatalities_per_100m_VMT_rank","urban_fatalities_per_100m_VMT_rank","overall_score_rank"
"1","Alabama",11118.18,29706.921,2.6719230125794,1387759,204894,336541,2191890,8.481,570.561,7.132,2046.675,22.342,432.651,24.891,1284.213,934,168,220,67921.49684,11594.92568,18139.5859,16164,586,16042202.2487563,1496228.52660894,10.7217593859906,46715.0062438312,6897.18062669638,11328.7068693521,73783.8162359539,1.48643177504246,5.16397743215663,0.348467636532425,1.9382298730818,3.62534026231131,1.37511692682537,1.44890967511574,1.21281710185016,0.738432634923236,29,11,40,23,28,36,6,2,9,31,36,38,23
"2","Alaska",9223.254,11754.095,1.27439784267028,767574,265310,45613,1158736,94.496,981.503,65.826,477.814,1.326,78.425,6.244,139.411,64,17,19,5305.88855,992.22116,1498.34451,1632,134,1630315.11781369,201917.818181818,8.07415181331673,65302.6881269889,22571.7079877268,3880.60501467786,98581.4730951213,9.62768325720859,1.69078737647434,13.776490433516,4.47884313289482,8.21078431372549,1.20620701691897,1.71332770206191,1.26806618058753,0.916556881567076,38,36,20,34,48,12,50,9,35,20,44,41,30
"3","Arizona",11403.946,20046.092,1.75782067014347,1375627,161453,224330,2157099,20.2,909.145,13.693,1241.206,5.2,244.666,41.608,663.92,1054,167,331,65758.27912,10333.3868,22157.40152,8467,117,48522254.25152,2540442,19.0999260174096,68623.2009710421,8054.08854753335,11190.7098899875,107606.959002283,2.22186779886597,2.12534639058962,1.10320124137331,6.26702012290637,1.38183536081257,1.60283999840779,1.61612067013692,1.49385748008957,1.1407971058734,39,15,39,37,34,14,27,17,1,42,41,48,36
"4","Arkansas",29881.901,38078.351,1.27429479804514,919783,207470,39207,1346667,11.64,438.905,33.661,1876.896,15.915,310.207,61.157,617.582,638,77,55,33918.76191,7446.95818,9458.13616,12941,679,4338297.52240854,789677.621337665,5.49375771224178,24155.0113343931,5448.50274635054,1029.64017533217,35365.685872269,2.65205454483316,5.13044515436467,1.79343980700049,9.90265260321706,5.2468897303145,1.88096488218782,1.03397921861299,0.581509919814899,0.380983273129395,14,7,4,9,37,35,37,27,20,48,18,7,7
"5","California",15923.201,52003.894,3.26591958488749,4513968,2331366,580307,10789827,54.642,1209.1,77.248,3332.69,116.589,1243.151,2434.307,6116.816,3847,495,1636,299811.68307,32598.78485,170617.0324,25737,1493,578067054.112538,14341421.8181818,40.3075135395344,86800.576895261,44830.6044158924,11158.9143689894,207481.135931859,4.51922917872798,9.37850671398728,2.31788735225899,39.7969629951269,5.8009869060108,1.28313878919182,1.51846150792949,0.958872614877341,1.71320433664249,41,47,38,44,46,47,42,50,25,27,39,23,44
"6","Colorado",9887.264,23022.464,2.32849694313816,1051281,534394,222838,1941784,53.929,648.121,27.004,2568.867,20.171,303.718,121.302,1067.407,622,117,258,48642.0466,9071.35041,21772.41377,8869,469,58578970.4920387,2093025.18181818,27.987704591854,45663.2704475073,23211.8508253504,9679.15510694251,84343.0138494298,8.3208228093211,6.64135810192349,1.05120272867377,11.3641750522528,5.28808208366219,1.27872909031751,1.28977489251239,1.18498574721878,1.01477542748464,27,38,33,28,47,40,26,31,21,26,32,36,32
"7","Connecticut",4042.3,9827.22,2.4310961581278,928035,266426,79535,2023243,0.21,28.74,0.96,121.97,5,317.6,69.97,698,295,14,127,29844.93826,1176.44625,17102.75781,4361,231,28452751.0693672,1434047.16562051,19.8408753571615,94435.1505308724,27111.0242774661,8093.33667100157,205881.520918429,0.730688935281837,1.57430730478589,0.787078789866361,10.0243553008596,5.29695024077047,0.988442319531875,1.1900246186343,0.74257030012869,1.46207460502238,43,40,30,43,13,8,21,28,22,8,25,11,40
"8","Delaware",5543.85,11997.76,2.1641566781208,591785,450218,357476,1780374,0,0,0.61,99.25,3.5,40.38,10.69,212.68,116,13,48,8345.22961,871.19099,3621.6457,875,17,24170694.9732601,362141.680398853,66.7437532919138,49324.6239298002,37525.1713653215,29795.2284426426,148392.19987731,NA,8.66765725606736,0.614609571788413,5.02633063757758,1.94285714285714,1.39001567866986,1.49221010653473,1.32536432263377,1.70713281493951,32,45,50,40,NA,44,16,11,4,32,38,43,43
"9","Florida",12224.732,45012.826,3.68211147696326,6509736,1495838,450415,10886766,1.099,717.267,4.351,2596.855,12.393,777.899,81.075,3879.958,3331,370,1328,208075.91888,20614.21318,85565.92676,12680,459,246806939.222572,7892008.44874369,31.2730201475976,144619.580205873,33231.3727647315,10006.3701843559,241859.19808723,0.153220488325826,1.59313741244043,0.16754882348071,2.08958447488349,3.6198738170347,1.60085800314117,1.79487811040479,1.55201965348292,2.25391165416912,49,44,35,47,1,9,2,4,8,41,45,49,49
"10","Georgia",22442.319,49496.955,2.20551873449442,1564658,616874,484060,3306642,4.875,538.251,9.272,2428.363,9.628,708.81,46.455,2355.549,1664,185,506,115966.8266,13525.43715,42303.02504,14987,319,135295166.172381,3468201.44600124,39.0101810055969,31611.1970928313,12462.8676652938,9779.59149204229,66804.9580019619,0.905711275966046,1.35833298062951,0.381821004520329,1.97215171495053,2.12851137652632,1.43489310588758,1.36779312896367,1.19613195397149,1.03107157785807,19,25,34,20,18,5,8,3,6,33,35,37,33
