"","state","SHA_miles","state_controlled_lane_miles","SHA_ratio","capital_disbursement","maintenance_disbursement","admin_disbursement","total_disbursement","rural_interstate_above_170","rural_interstate_total","rural_OPA_above_220","rural_OPA_total","urban_interstate_above_170","urban_interstate_total","urban_OPA_above_220","urban_OPA_total","total_fatalities","rural_I_OFE_OPA_fatalities","urban_I_OFE_OPA_fatalities","total_VMT","rural_VMT","urban_VMT","total_bridges","total_poor_bridges","state_tot_delay_hours","state_tot_commuters","state_avg_delay_hours","coli_index","capital_disbursement_per_vmt","maintenance_disbursement_per_vmt","admin_disbursement_per_vmt","capital_disbursement_per_lm","maintenance_disbursement_per_lm","admin_disbursement_per_lm","rural_interstate_poor_percent","urban_interstate_poor_percent","rural_OPA_poor_percent","urban_OPA_poor_percent","poor_bridges_percent","rural_fatalities_per_100m_VMT","urban_fatalities_per_100m_VMT","overall_score_NOcoli","overall_score_WITHcoli","overall_score_perlm_NOcoli","state_avg_delay_hours_rank","coli_index_rank","capital_disbursement_per_vmt_rank","maintenance_disbursement_per_vmt_rank","admin_disbursement_per_vmt_rank","capital_disbursement_per_lm_rank","maintenance_disbursement_per_lm_rank","admin_disbursement_per_lm_rank","rural_interstate_poor_percent_rank","urban_interstate_poor_percent_rank","rural_OPA_poor_percent_rank","urban_OPA_poor_percent_rank","poor_bridges_percent_rank","rural_fatalities_per_100m_VMT_rank","urban_fatalities_per_100m_VMT_rank","overall_score_NOcoli_rank","overall_score_WITHcoli_rank","overall_score_perlm_NOcoli_rank"
"11","Hawaii",948.656,2477.288,2.61136597459986,243071,60106,18764,384959,0,0,3.219,77.349,14.141,54.639,31.517,261.275,85,7,47,8785.36654,242.27314,3781.14601,1162,87,550602.909090909,68825.3636363636,8,1.933,27667.7129967533,6841.60412958706,2135.82437506358,98119.7987476628,24262.8228934222,7574.41201830389,NA,25.8807811270338,4.16165690571307,12.0627691130035,7.48709122203098,2.88930089402399,1.24300939121893,1.70885244447136,1.62590900694936,2.01680113254522,3,50,24,15,13,45,39,28,NA,50,48,33,33,49,39,48,48,48
"12","Idaho",4968.194,12272.361,2.4701855442843,602942,112824,32451,843288,10.789,519.445,54.303,1689.282,1.527,91.768,47.887,361.91,214,85,20,17406.41762,5170.93727,3895.8963,4561,238,6639680.75844004,473358.439610011,14.0267505611822,1.021,34639.0631985768,6481.74727638185,1864.3123880191,49130.0736671615,9193.3410368225,2644.23447126433,2.07702451655132,1.6639787289687,3.21456097916156,13.2317426984609,5.21815391361543,1.64380257507939,0.513360686730804,0.965356057463168,0.965716718501635,0.947890887395581,9,31,36,14,10,31,16,14,32,11,46,34,19,43,3,30,30,24
"13","Illinois",15894.14,42168.83,2.65310548415957,3146026,928708,179114,5206962,16.62,1243.34,57.83,2360.12,45.38,941.7,331.41,2887.21,1194,109,395,94120.59736,11863.11952,38702.49647,26846,2405,135455768.036086,4148497.6043423,32.6517647965621,0.943,33425.4784631979,9867.2131929614,1903.02659592045,74605.4846672293,22023.5657474964,4247.54492832739,1.33672205510962,4.81894446214293,2.450299137332,11.4785554220164,8.95850406019519,0.918813974825401,1.02060599709939,1.05285392440007,1.0578994725777,1.16881737866337,44,20,33,29,11,40,35,22,26,34,44,32,38,14,26,33,35,36
"14","Indiana",11029.486,28444.825,2.57898010841122,1554090,919218,106962,2706417,21.232,768.945,7.346,1969.518,20.853,491.889,114.338,1717.31,897,185,195,76607.74049,12724.29645,20302.47864,19337,1082,42126038.6392972,2087909.59167255,20.1761794702765,0.906,20286.3312513814,11999.0224763252,1396.22966707865,54635.2456026711,32315.8254621007,3760.33250336397,2.76118578051746,4.23937107762117,0.372984659190726,6.6579708963437,5.59549051042044,1.45391142627772,0.960473858673642,0.817458693924333,0.845719848759663,0.982713211001535,26,10,13,39,5,36,42,19,39,31,7,18,24,37,24,17,18,27
"15","Iowa",8904.574,22917.695,2.57369920223022,1011405,227049,68947,1452777,9.469,610.413,62.225,3387.07,8.375,177.535,94.381,896.72,337,85,60,29751.49674,10106.30789,6305.85214,23870,4504,6081446.82146112,816851.267455711,7.44498669923512,0.899,33995.0964093916,7631.51521364434,2317.42962723965,44132.0560379218,9907.148166515,3008.46136576999,1.55124481293813,4.71737967161405,1.8371335697225,10.5251360513873,18.8688730624215,0.841058880504778,0.951497096156143,1.03097047162823,1.0454668662486,0.99255213981534,2,8,35,20,17,25,18,16,30,33,39,29,49,10,22,32,32,29
"16","Kansas",10296.549,24037.406,2.33451091234549,445765,191848,80775,1206931,4.73,639.501,8.54,2628.83,7.23,234.606,21.656,312.222,426,96,64,27853.80189,7546.83194,6238.48824,24925,1277,20517224.2598929,841005.242477591,24.3960717764962,0.865,16003.7398758134,6887.67733602919,2899.96318344605,18544.6383024857,7981.22725888143,3360.38755596174,0.739639187428949,3.08176261476689,0.324859348074999,6.93609034597178,5.12337011033099,1.27205694738182,1.02588956711731,0.681773285833287,0.725009459451244,0.633698285307158,34,2,5,16,23,6,14,17,14,25,5,20,17,30,27,6,6,5
"17","Kentucky",27689.692,62345.847,2.25159048356334,1293161,486934,34405,2253081,5.678,710.297,6.416,1229.06,5.333,230.024,22.184,622.471,780,150,143,46535.80644,12617.92559,11330.46981,14410,990,10617804.6397945,671984.498460731,15.8006690096512,0.931,27788.5159606573,10463.6415966664,739.323171381147,20741.7344093505,7810.20747059543,551.841087346203,0.799383919684301,2.31845372656766,0.522024962166208,3.56386080636688,6.87022900763359,1.18878494670216,1.2620835887475,0.690721628124337,0.725197241572726,0.581321687972561,12,17,25,31,1,7,13,1,16,16,14,6,26,24,40,7,7,2
"18","Louisiana",17104.45,40153.939,2.34757264922286,886746,433915,53776,1631884,16.144,526.579,23.449,1007.778,49.631,414.04,151.91,956.112,828,99,228,48374.10643,8908.47797,15956.06196,12782,1631,29552247.1818182,1508478,19.5907710830507,0.93,18331.0052720699,8969.98481259595,1111.66911326449,22083.661580499,10806.2872735848,1339.24594546005,3.06582678002731,11.9870060863685,2.32680213300945,15.888305972522,12.7601314348302,1.11130094650725,1.42892400751244,1.25935894425883,1.24409042457006,1.22123048049236,23,16,10,26,3,12,22,7,43,49,43,40,45,20,46,40,40,38
"19","Maine",8340.194,17467.309,2.0943528411929,486290,251308,22799,859996,3.88,279.28,30.51,791.896,1.24,86.99,13.18,120.084,164,28,9,13086.41725,3381.44709,1726.3128,2485,314,5116374.36363636,345018.181818182,14.8292891020236,1.15,37159.903334123,19203.7282014678,1742.18806908361,27840.0067234169,14387.3335039759,1305.23825965408,1.38928673732455,1.4254512012875,3.85277864770121,10.9756503780687,12.635814889336,0.828047852140132,0.521342366227024,1.13730130342657,1.09600657360901,0.955776756559067,11,39,39,43,9,16,29,6,27,7,47,30,44,8,4,36,37,25
"20","Maryland",5207.452,14927.941,2.86664975500494,1520245,420904,118806,3188653,1.76,142.136,3.245,320.815,23.311,335.891,171.725,1021.601,567,23,271,50885.12383,4001.6127,27573.56035,5446,253,75943252.9277901,2370821.93902382,32.0324574687627,1.24,29876.0204471335,8271.65128665464,2334.78846188749,101838.893923817,28195.7170114753,7958.63274111279,1.2382506894805,6.94004900399237,1.01148637064975,16.8094001474157,4.64561145795079,0.574768267803628,0.982825563910175,0.906437937183965,0.891586631644493,1.19928089141341,43,44,27,23,18,46,41,29,23,42,25,41,14,1,25,25,23,37
"21","Massachusetts",2996.545,9556.314,3.18911079259614,877552,313006,167507,3310018,0.648,62.608,1.2,104.577,15.028,501.822,465.157,1940.45,343,10,171,54126.82558,1051.55157,29366.47448,5245,456,112256798.819498,2669547.54330105,42.0508707931404,1.35,16212.8850269072,5782.82573651717,3094.71317050402,91829.548505836,32753.8421194615,17528.4110589083,1.03501150012778,2.99468735926285,1.14747984738518,23.9716045247236,8.69399428026692,0.950975709160893,0.582296659806608,0.905883695059772,0.89757987458,1.4180001627282,49,47,6,10,25,42,43,48,20,23,29,47,37,15,8,24,25,42
