"","state","SHA_miles","state_controlled_lane_miles","SHA_ratio","capital_disbursement","maintenance_disbursement","admin_disbursement","total_disbursement","rural_interstate_above_170","rural_interstate_total","rural_OPA_above_220","rural_OPA_total","urban_interstate_above_170","urban_interstate_total","urban_OPA_above_220","urban_OPA_total","total_fatalities","rural_I_OFE_OPA_fatalities","urban_I_OFE_OPA_fatalities","total_VMT","rural_VMT","urban_VMT","total_bridges","total_poor_bridges","state_tot_delay_hours","state_tot_commuters","state_avg_delay_hours","coli_index","capital_disbursement_per_vmt","maintenance_disbursement_per_vmt","admin_disbursement_per_vmt","capital_disbursement_per_lm","maintenance_disbursement_per_lm","admin_disbursement_per_lm","rural_interstate_poor_percent","urban_interstate_poor_percent","rural_OPA_poor_percent","urban_OPA_poor_percent","poor_bridges_percent","rural_fatalities_per_100m_VMT","urban_fatalities_per_100m_VMT","overall_score_NOcoli","overall_score_WITHcoli","overall_score_perlm_NOcoli","state_avg_delay_hours_rank","coli_index_rank","capital_disbursement_per_vmt_rank","maintenance_disbursement_per_vmt_rank","admin_disbursement_per_vmt_rank","capital_disbursement_per_lm_rank","maintenance_disbursement_per_lm_rank","admin_disbursement_per_lm_rank","rural_interstate_poor_percent_rank","urban_interstate_poor_percent_rank","rural_OPA_poor_percent_rank","urban_OPA_poor_percent_rank","poor_bridges_percent_rank","rural_fatalities_per_100m_VMT_rank","urban_fatalities_per_100m_VMT_rank","overall_score_NOcoli_rank","overall_score_WITHcoli_rank","overall_score_perlm_NOcoli_rank"
"32","New York",15095.98,38156.8,2.52761331162336,3937980,1920550,464851,14306404,21.81,797.93,26.25,2071.8,86.62,922.53,731.15,3070.69,1046,70,425,102476.87454,8479.54888,46886.94953,17555,1672,190842607.047234,4696123.97683694,40.638323857833,1.482,38427.9869743967,18741.3014752938,4536.15512852662,103205.195404227,50333.0992116739,12182.6515850386,2.73332247189603,9.38939655078968,1.26701419055893,23.8106093418743,9.52435203645685,0.825515613986295,0.906435595107482,1.37252080112242,1.25431543153978,1.691863966835,48,49,41,42,34,47,48,41,38,48,32,46,40,7,19,44,42,45
"33","North Carolina",80211.665,173653.322,2.16493850364532,4844323,1272829,374775,7141616,4.205,544.043,6.479,1595.917,17.701,780.311,82.27,1977.291,1538,163,339,106342.36536,14101.33355,36554.73714,18877,1325,62335360.5725924,3480889.54989943,17.9078823613905,0.957,45554.0271612405,11969.1620145095,3524.23043000104,27896.5178679392,7329.71293229853,2158.17927168707,0.772916846646313,2.26845450083364,0.405973493609004,4.16074315818966,7.0191238014515,1.15591904426656,0.927376385450874,0.807026830597745,0.834327957412741,0.590845214175994,18,22,46,38,29,17,12,11,15,15,10,7,30,22,20,16,17,4
"34","North Dakota",7411.548,17245.396,2.32682780979088,376287,30940,20294,464436,1.949,509.732,32.575,2944.629,0.6,61.191,17.905,206.875,100,33,7,8767.60078,3184.75673,1312.67259,4285,481,1702336.71663648,197742.475943197,8.60885709312902,0.982,42917.8984584195,3528.90155201615,2314.65830952216,21819.5627401076,1794.10203163789,1176.77784841821,0.382357788014094,0.980536353385302,1.10625141571315,8.65498489425982,11.2252042007001,1.03618589417346,0.53326321074473,0.710322878839712,0.736960109296822,0.551124567033245,5,24,42,5,16,11,2,5,7,2,28,24,43,19,5,8,8,1
"35","Ohio",19257.183,49680.663,2.57985100936103,1970380,480042,612521,3990755,13.97,642.63,9.448,1521.871,42.474,930.684,368.538,2398.031,1230,112,323,103114.93613,13185.06909,38928.38958,27151,1334,92780908.172212,3935824.48610628,23.5734363917229,0.913,19108.5799395335,4655.40704398825,5940.17727196938,39660.9038812546,9662.55220869335,12329.1631595174,2.17387921510045,4.56374021687275,0.620814773394066,15.3683584574178,4.91326286324629,0.849445681592557,0.829728646586361,0.866578556615508,0.893501452034076,0.959135500705999,33,13,11,7,41,22,17,42,33,32,17,39,16,11,15,22,24,26
"36","Oklahoma",12252.49,30406.567,2.48166429844056,1360030,703103,247262,2694756,15,636.72,45.799,2236.102,15.398,284.13,71.303,738.818,652,134,149,42000.17854,10066.36018,13168.33508,23220,2296,31857302.8042974,1047077.42269971,30.4249734677297,0.879,32381.5290143288,16740.4764560794,5887.16545013049,44728.1667805511,23123.3930486135,8131.86177841122,2.35582359592914,5.41935029739908,2.04816238257468,9.65095598645404,9.88802756244617,1.33116635609993,1.13150219139168,1.27478337180156,1.29517580344803,1.23201215418503,41,3,31,41,40,26,37,31,35,38,40,25,41,33,35,41,43,40
"37","Oregon",7602.71,18460.35,2.42812760186828,924356,291763,159947,2001116,3.24,493.51,19.1,2652.45,6.69,232.69,64.99,838.77,508,124,125,32297.97845,7593.10952,11339.38888,8235,382,29976423.478517,1307435.80132851,22.927644667568,1.301,28619.6240247971,9033.47559203044,4952.22944827991,50072.5067509554,15804.8466036668,8664.35360109641,0.656521651030374,2.87506983540333,0.720088974344474,7.74825041429713,4.63873709775349,1.63305954791496,1.10235217543752,0.848530617897988,0.820079380203415,0.891752318324834,31,46,26,27,36,33,30,32,11,21,20,22,13,42,33,20,15,22
"38","Pennsylvania",39713.25,88322.133,2.22399660063077,3817048,1794855,945086,9031685,32.283,1066.255,21.288,1578.923,48.862,797.064,379.901,2865.955,1129,124,354,87982.49094,14889.82588,33384.06472,23166,3198,46376549.893122,2768553.70888238,16.751183025394,1.025,43384.1774564334,20400.1384914643,10741.7508859178,43217.3439470716,20321.6899211435,10700.4435683183,3.02769975287337,6.13024801019743,1.34826080815847,13.2556512576087,13.8047138047138,0.832783411970967,1.06038615419986,1.44843292305452,1.39924333770232,1.22969462911609,15,32,43,46,46,24,34,37,42,39,33,35,46,9,29,45,45,39
"39","Rhode Island",1104.673,2869.8,2.59787285468188,356087,113401,35653,631456,0.049,17.843,4.132,97.3,1.301,52.166,102.412,341.337,67,6,35,6864.09328,503.39365,4205.40235,779,136,17464395.3149449,533718.388902244,32.7221165282796,1.172,51876.7716979511,16520.9001938272,5194.13104479256,124080.772179246,39515.2972332567,12423.5138337166,0.27461749705767,2.4939615841736,4.24665981500514,30.0031933250717,17.4582798459564,1.19191014825078,0.832262815471152,1.54989389271133,1.45545270008491,1.81030123188948,45,42,47,40,38,48,46,43,3,18,49,49,48,26,16,47,46,46
"40","South Carolina",41266.815,90552.099,2.19430792029867,1903048,385182,126634,2487783,5.182,546.291,15.402,1545.711,3.453,304.299,43.046,1024.109,1064,351,172,53972.05201,12029.59601,16048.10832,9395,499,32007409.7351114,1692922.94092296,18.9065957825944,0.936,35259.8785691417,7136.69363411703,2346.2884082402,21016.0561821985,4253.70592458602,1398.46565014468,0.948578687915415,1.13473918744393,0.996434650461826,4.20326351980112,5.3113358169239,2.91780372099129,1.07177741183143,0.846353572019418,0.869354581770942,0.694679729760041,21,18,37,18,19,9,3,8,19,3,24,8,23,50,30,19,20,8
"41","South Dakota",7750.985,17955.264,2.31651383662851,245906,98602,113589,496054,2.585,591.032,17.775,2591.021,1,87.749,9.333,135.644,141,51,15,9742.50787,4084.57771,1390.44752,5886,1018,1956011.30579337,199603.657026168,9.79947629685432,1.01,25240.5236188944,10120.802704571,11659.1129836059,13695.4822830787,5491.53718931674,6326.22277233016,0.437370565383939,1.13961412665671,0.686023000199535,6.8805107487246,17.2952769283044,1.2485990871257,1.07878936703774,1.06432822904683,1.05538567621289,0.749627828309025,7,29,21,30,47,4,8,27,8,4,18,19,47,29,31,34,34,15
"42","Tennessee",14065.821,37746.437,2.68355732665729,1172329,403701,235296,1846165,4.289,644.566,8.025,1704.905,9.231,556.434,91.121,1833.03,1217,155,418,76392.47494,13282.08868,28835.17347,20331,841,49907948.5884094,2245805.01000093,22.2227434555366,0.89,15346.1319445504,5284.56500875347,3080.09395146323,31058.0042296442,10695.0756703209,6233.59497480517,0.665408972859257,1.65895685741705,0.470700713529493,4.97105884791847,4.13654025871821,1.16698513113677,1.44961846834348,0.647453131187078,0.688353711247642,0.705343184542032,28,6,4,8,24,18,21,26,12,10,13,10,11,23,47,3,3,10
"43","Texas",80719.895,198465.385,2.45869230875486,9622499,2101734,432230,14869066,24.745,1999.67,33.761,8375.675,57.88,1457.295,893.915,6164.882,3874,630,1285,260581.95545,41025.34398,116488.25886,55175,789,389960638.436758,10483903.8506093,37.1961288460399,0.921,36926.9582898895,8065.53929020337,1658.71040169907,48484.5203610695,10589.9273064671,2177.86088994814,1.23745417993969,3.97174216613657,0.403083930548881,14.5001153306746,1.42999546896239,1.53563611875412,1.10311546637877,0.843073972538497,0.868776332335827,0.807512971026675,47,15,38,22,8,30,20,12,22,30,9,37,3,40,34,18,19,18
"44","Utah",5874.994,16022.842,2.72729504064174,938924,258207,67478,1677547,2.078,684.641,5.09,1191.271,6.822,253.418,20.662,656.245,276,53,102,30251.18348,5412.94914,13063.4082,3056,63,20192367.3636364,1162710.54545455,17.3666330305299,0.99,31037.5956240109,8535.43466062109,2230.59041787941,58599.0924706116,16114.9314210301,4211.36275324939,0.303516733587384,2.69199504376169,0.427274734296394,3.14851922681316,2.06151832460733,0.97913353015543,0.780806956640917,0.583336041531166,0.619484635389669,0.639138918927904,17,25,28,24,15,37,31,21,4,20,11,5,5,16,13,1,1,6
"45","Vermont",2628.169,5997.863,2.28214509797505,194913,117302,81241,473140,2.919,255.284,5.902,328.649,0.881,64.308,8.911,125.403,62,13,7,6006.9751,1577.74718,935.14707,2836,68,1773558.45454545,93345.1818181818,19,1.17,32447.7789162136,19527.6321355153,13524.4442747898,32497.0743746564,19557.2989913241,13544.9909409401,1.14343241252879,1.36996952167693,1.79583689589806,7.10589060867762,2.39774330042313,0.823959640986333,0.748545359822386,1.13154960333189,1.04822094641098,0.905292323850844,22,41,32,44,49,21,33,45,21,6,38,21,7,6,12,35,33,23
"46","Virginia",59247.388,128988.6,2.17711876175875,1530009,1769492,478453,4497796,2.068,598.2,4.66,1635.352,13.358,520.757,82.509,1353.132,850,175,216,76110.26923,14531.46916,31458.82974,13997,530,85988152.4284563,3029205.04582251,28.386375675374,1.018,20102.530387541,23249.0571627426,6286.31332986286,11861.5831166475,13718.204554511,3709.26578007669,0.345703778000669,2.56511194280634,0.284953942637426,6.0976312732239,3.78652568407516,1.20428291229983,0.686611681951269,0.866832064237596,0.872056650348773,0.58662044368075,39,30,12,48,42,2,27,18,5,19,3,16,10,27,10,23,21,3
"47","Washington",7052.28,18449.7,2.61613265497116,1807166,1048661,299185,3741480,17.6,428.99,15.64,1312.376,9.78,334.59,246.557,1408.649,560,66,138,53658.2413,8151.52786,23958.66931,8358,401,63216591.3994066,2555959.48633421,24.7330177717616,1.116,33679.1880653755,19543.3352751351,5575.75113815741,97950.9693924562,56838.9187900074,16216.2528387995,4.10265973565817,2.92298036402762,1.19173163788426,17.5030827409809,4.79779851639148,0.809664165215771,0.575991922649898,1.138278909882,1.09391780544451,1.53648013814681,36,38,34,45,39,44,49,47,45,22,30,44,15,4,6,37,36,44
"48","West Virginia",34421.598,71053.824,2.06422212007705,910892,334687,66194,1483700,10.998,319.352,29.661,1012.214,21.142,235.238,22.721,395.754,267,43,45,16054.14025,3780.86909,4739.48165,7314,1490,3643545.39222651,372147.294473772,9.79060024439679,0.905,56738.7593365518,20847.3948020979,4123.1731484344,12819.7463376496,4710.3305798151,931.603624880204,3.44384879380746,8.98749351720385,2.9303092033898,5.74119276115971,20.3718895269346,1.13730465076748,0.949470919462258,1.54985964501746,1.54401552734622,1.12531058198199,6,9,48,47,31,3,5,3,44,45,45,14,50,21,21,46,47,34
"49","Wisconsin",11747.23,29805.73,2.53725601695038,1384617,349633,180214,2539117,13.34,508.16,43.12,2825.275,19.161,366.16,327.233,1891.135,614,107,122,57599.94105,11964.82587,18202.47359,14307,987,33224402.6344364,1770082.98258473,18.769968957004,0.964,24038.5141852502,6070.02357340086,3128.7184798256,46454.7253162395,11730.3954642279,6046.28707298899,2.62515743073048,5.23295826960891,1.52622311102459,17.3035240741671,6.89872090585028,0.894287983482371,0.67023857717351,0.939919513615725,0.94947381571405,0.996714771770447,20,23,19,11,26,28,24,24,36,37,35,43,27,12,9,28,27,30
"50","Wyoming",6734.893,15792.422,2.34486605800567,374234,106393,42152,564377,12.717,807.05,5.921,1914.304,7.081,105.653,11.374,191.407,127,56,17,9800.31981,4147.37377,1239.22442,3114,230,501554.090909091,77725.3636363636,6.45290118236822,0.943,38185.8967110584,10856.0742978448,4301.08412962087,23697.0617933082,6736.96536224779,2669.12826924205,1.57573880180906,6.70212866648368,0.309303015612985,5.94231140971856,7.38599871547848,1.35025206565841,1.37182577470512,0.935125743267164,0.954864688323492,0.729807062941838,1,20,40,33,33,13,10,15,31,41,4,15,32,34,44,27,28,11
"51","United States",781295.836,1887581.177,2.41596216186669,78869455,27457186,10083635,157763506,609.463,29198.709,1016.447,89777.721,910.683,19108.484,9104.542,64182.55,38788,5822,11889,2900591.05241,448887.91852,1143597.16534,617008,43289,2926915147.48898,104909445.61121,27.8994434718111,1,27190.821999699,9466.06588239551,3476.40698664566,41783.3447170468,14546.2279103878,5342.09342775196,2.08729433893807,4.76585688325667,1.13218178037734,14.1853852799554,7.01595441226046,1.29698300172465,1.03961432926998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
