,urban_area,delay_2022
953,Springfield IL,1
954,Racine WI,1
956,Carson City NV,1
957,Texas City TX,1
958,Troy AL,1
960,Petersburg VA,1
965,Topeka KS,0
966,Wichita KS,0
967,Rockford IL,0
968,Fargo ND,0
969,Lufkin TX,0
970,Gary IN,0
971,Harlingen TX,0
976,Texarkana TX,-1
977,Wichita Falls TX,-1
978,Amarillo TX,-1
979,Pine Bluff AR,-2
980,San Angelo TX,-2
981,Rocky Mount NC,-2
982,Cedar Rapids IA,-2
983,Lubbock TX,-2
984,Rochester NY,-2
986,Abilene TX,-5
987,Utica NY,-5
988,Williamsport PA,-13
