"","state","SHA_miles","state_controlled_lane_miles","SHA_ratio","capital_disbursement","maintenance_disbursement","admin_disbursement","total_disbursement","rural_interstate_above_170","rural_interstate_total","rural_OPA_above_220","rural_OPA_total","urban_interstate_above_170","urban_interstate_total","urban_OPA_above_220","urban_OPA_total","total_fatalities","rural_I_OFE_OPA_fatalities","urban_I_OFE_OPA_fatalities","total_VMT","rural_VMT","urban_VMT","total_bridges","total_poor_bridges","state_tot_congestion_hours","state_tot_commuters","state_avg_congestion_hours","capital_disbursement_per_vmt","maintenance_disbursement_per_vmt","admin_disbursement_per_vmt","rural_interstate_poor_percent","urban_interstate_poor_percent","rural_OPA_poor_percent","urban_OPA_poor_percent","poor_bridges_percent","rural_fatalities_per_100m_VMT","urban_fatalities_per_100m_VMT","overall_score","capital_disbursement_per_vmt_rank","maintenance_disbursement_per_vmt_rank","admin_disbursement_per_vmt_rank","rural_interstate_poor_percent_rank","urban_interstate_poor_percent_rank","rural_OPA_poor_percent_rank","urban_OPA_poor_percent_rank","poor_bridges_percent_rank","rural_fatalities_per_100m_VMT_rank","urban_fatalities_per_100m_VMT_rank","overall_score_rank"
"11","Hawaii",948.656,2477.288,2.61136597459986,243071,60106,18764,384959,0,0,3.219,77.349,14.141,54.639,31.517,261.275,85,7,47,8785.36654,242.27314,3781.14601,1162,87,4748227.99004314,430029.636363636,11.0416296657936,27667.7129967533,6841.60412958706,2135.82437506358,NA,25.8807811270338,4.16165690571307,12.0627691130035,7.48709122203098,2.88930089402399,1.24300939121893,0.693540001686163,24,15,13,NA,50,48,33,33,49,39,14
"12","Idaho",4968.194,12272.361,2.4701855442843,602942,112824,32451,843288,10.789,519.445,54.303,1689.282,1.527,91.768,47.887,361.91,214,85,20,17406.41762,5170.93727,3895.8963,4561,238,3536142.50260734,515858.985064557,6.85486267562988,34639.0631985768,6481.74727638185,1864.3123880191,2.07702451655132,1.6639787289687,3.21456097916156,13.2317426984609,5.21815391361543,1.64380257507939,0.513360686730804,0.751671705897657,36,14,10,32,11,46,34,19,43,3,23
"13","Illinois",15894.14,42168.83,2.65310548415957,3146026,928708,179114,5206962,16.62,1243.34,57.83,2360.12,45.38,941.7,331.41,2887.21,1194,109,395,94120.59736,11863.11952,38702.49647,26846,2405,176663745.261777,4148497.6043423,42.5849939208981,33425.4784631979,9867.2131929614,1903.02659592045,1.33672205510962,4.81894446214293,2.450299137332,11.4785554220164,8.95850406019519,0.918813974825401,1.02060599709939,1.32726375672182,33,29,11,26,34,44,32,38,14,26,44
"14","Indiana",11029.486,28444.825,2.57898010841122,1554090,919218,106962,2706417,21.232,768.945,7.346,1969.518,20.853,491.889,114.338,1717.31,897,185,195,76607.74049,12724.29645,20302.47864,19337,1082,37167616.4498033,2129074.35917322,17.4571716058976,20286.3312513814,11999.0224763252,1396.22966707865,2.76118578051746,4.23937107762117,0.372984659190726,6.6579708963437,5.59549051042044,1.45391142627772,0.960473858673642,0.665164735485808,13,39,5,39,31,7,18,24,37,24,13
"15","Iowa",8904.574,22917.695,2.57369920223022,1011405,227049,68947,1452777,9.469,610.413,62.225,3387.07,8.375,177.535,94.381,896.72,337,85,60,29751.49674,10106.30789,6305.85214,23870,4504,5124725.84631601,816851.267455711,6.27375637461915,33995.0964093916,7631.51521364434,2317.42962723965,1.55124481293813,4.71737967161405,1.8371335697225,10.5251360513873,18.8688730624215,0.841058880504778,0.951497096156143,0.730105850830176,35,20,17,30,33,39,29,49,10,22,20
"16","Kansas",10296.549,24037.406,2.33451091234549,445765,191848,80775,1206931,4.73,639.501,8.54,2628.83,7.23,234.606,21.656,312.222,426,96,64,27853.80189,7546.83194,6238.48824,24925,1277,5331090.71953972,841005.242477591,6.3389506393972,16003.7398758134,6887.67733602919,2899.96318344605,0.739639187428949,3.08176261476689,0.324859348074999,6.93609034597178,5.12337011033099,1.27205694738182,1.02588956711731,0.4003617136392,5,16,23,14,25,5,20,17,30,27,2
"17","Kentucky",27689.692,62345.847,2.25159048356334,1293161,486934,34405,2253081,5.678,710.297,6.416,1229.06,5.333,230.024,22.184,622.471,780,150,143,46535.80644,12617.92559,11330.46981,14410,990,15148381.4018701,1157606.54914188,13.0859499828326,27788.5159606573,10463.6415966664,739.323171381147,0.799383919684301,2.31845372656766,0.522024962166208,3.56386080636688,6.87022900763359,1.18878494670216,1.2620835887475,0.729971056299264,25,31,1,16,16,14,6,26,24,40,19
"18","Louisiana",17104.45,40153.939,2.34757264922286,886746,433915,53776,1631884,16.144,526.579,23.449,1007.778,49.631,414.04,151.91,956.112,828,99,228,48374.10643,8908.47797,15956.06196,12782,1631,43198913.752873,1508478,28.6374171534971,18331.0052720699,8969.98481259595,1111.66911326449,3.06582678002731,11.9870060863685,2.32680213300945,15.888305972522,12.7601314348302,1.11130094650725,1.42892400751244,0.816299373479536,10,26,3,43,49,43,40,45,20,46,27
"19","Maine",8340.194,17467.309,2.0943528411929,486290,251308,22799,859996,3.88,279.28,30.51,791.896,1.24,86.99,13.18,120.084,164,28,9,13086.41725,3381.44709,1726.3128,2485,314,1510983.81230825,345018.181818182,4.37943242395415,37159.903334123,19203.7282014678,1742.18806908361,1.38928673732455,1.4254512012875,3.85277864770121,10.9756503780687,12.635814889336,0.828047852140132,0.521342366227024,0.75660246297065,39,43,9,27,7,47,30,44,8,4,24
"20","Maryland",5207.452,14927.941,2.86664975500494,1520245,420904,118806,3188653,1.76,142.136,3.245,320.815,23.311,335.891,171.725,1021.601,567,23,271,50885.12383,4001.6127,27573.56035,5446,253,75595196.2316254,2460068.26260647,30.7289018685731,29876.0204471335,8271.65128665464,2334.78846188749,1.2382506894805,6.94004900399237,1.01148637064975,16.8094001474157,4.64561145795079,0.574768267803628,0.982825563910175,1.0635944630076,27,23,18,23,42,25,41,14,1,25,38
"21","Massachusetts",2996.545,9556.314,3.18911079259614,877552,313006,167507,3310018,0.648,62.608,1.2,104.577,15.028,501.822,465.157,1940.45,343,10,171,54126.82558,1051.55157,29366.47448,5245,456,153623159.787217,2669547.54330105,57.5465157654591,16212.8850269072,5782.82573651717,3094.71317050402,1.03501150012778,2.99468735926285,1.14747984738518,23.9716045247236,8.69399428026692,0.950975709160893,0.582296659806608,1.26111514025185,6,10,25,20,23,29,47,37,15,8,42
"22","Michigan",9648.566,27366.346,2.83631225614252,1453437,379062,127196,2533199,16.761,558.102,15.055,2129.91,52.424,672.843,393.858,2323.23,1084,92,351,86546.99493,11172.76279,34137.54162,11284,1240,31889655.613237,3350272.67313847,9.51852542299593,16793.6160137686,4379.84011237581,1469.67552256294,3.00321446617285,7.79141642255326,0.706837378105178,16.9530352139048,10.989010989011,0.823431068297119,1.02819354687908,0.468093410597224,7,6,6,41,43,19,42,42,5,28,5
"23","Minnesota",11694.497,29175.577,2.49481247461947,1197615,558585,181153,2354155,5.254,588.081,19.284,3453.316,10.405,325.418,11.356,612.246,394,67,61,51619.44114,9729.46025,15098.5755,13496,618,30964140.4250809,1940920.2687448,15.9533294199177,23200.8517246803,10821.2136292803,3509.39483263069,0.893414342582059,3.19742607968828,0.55841979129625,1.85480999467534,4.57913455838767,0.688630183776125,0.404011623480639,0.693593263791093,18,32,28,17,27,15,1,12,2,2,15
"24","Mississippi",10948.065,28310.191,2.58586252456484,708631,124291,60441,1031193,8.637,578.436,16.197,1783.239,7.932,253.106,93.539,952.061,752,177,138,39665.08749,9805.39776,9668.9066,16788,1174,3538448.97067375,557546.322951286,6.34646633833672,17865.3582997555,3133.51130339332,1523.78335268359,1.49316432587183,3.1338648629428,0.908291036703437,9.82489567370158,6.99309030259709,1.80512819910327,1.42725548719232,0.434719959223134,8,4,7,29,26,23,26,29,46,45,3
"25","Missouri",33830.168,77693.084,2.29656216900844,805193,513233,182531,2157743,4.626,841.535,8.833,1890.406,16.286,538.11,70.638,871.492,987,146,291,72797.03699,14354.89963,22357.05028,24590,2218,20939675.9634591,2028942.56595222,10.3204872897088,11060.7935884892,7050.19079376132,2507.39600878363,0.549709756575781,3.02651874152125,0.467254124246326,8.1054100324501,9.019926799512,1.01707433533619,1.30160283380639,0.376095106779464,1,17,20,9,24,12,23,39,17,42,1
"26","Montana",11025.544,25210.881,2.28658839872209,528455,134321,44141,784116,14.5,1095.069,43.36,2772.977,1.7,97.708,38.067,255.623,213,90,14,12104.09134,4904.2479,1779.6028,5266,365,1896242.60994197,161508.272727273,11.7408388927793,43659.2045743766,11097.1568395319,3646.78345198277,1.32411747570244,1.7398780038482,1.56366244653309,14.8918524545913,6.93125712115458,1.83514377403312,0.786692401248189,0.999301037018972,44,35,30,25,13,36,38,28,47,14,36
"27","Nebraska",9939.26,22540.86,2.26786098763892,483546,224838,19203,816022,2.56,414.6,33.22,2337.734,2.65,68.83,91.03,317.192,233,71,37,19431.86472,5794.80081,4409.64311,15348,1280,6465832.33411214,591216.848819161,10.9364818459189,24884.1790001922,11570.5828153789,988.222194663364,0.617462614568259,3.85006537846869,1.42103421518445,28.698706146435,8.33984884023977,1.22523624759416,0.839070171372667,0.640595282169679,20,37,2,10,29,34,48,36,28,17,11
"28","Nevada",5354.476,13508.747,2.52288870096719,690578,156288,183901,1216101,0.8,456.673,1.746,1519.397,4,161.598,19.047,378.161,317,84,94,25231.34636,3843.86286,8699.34062,2067,29,28035611.4545455,1103996.63636364,25.3946529646047,27369.8434537284,6194.19977713785,7288.59242690052,0.175180052247451,2.47527815938316,0.114914008649484,5.03674360920349,1.40299951620706,2.18530168893695,1.08054166523715,0.928246145476612,23,13,43,2,17,1,12,2,48,32,33
